model_name,parse_tree
WC,"2{6{8{12,16,21,21,58},8{12,16,21,22,58}},27,23,23,36}"
ARM,"2{6{8{11,16,20,20,57},8{11,16,20,22,57}},27,24,24,37}"
JR,"3{8{11,16,22,22,58},6{8{11,16,20,20,58},8{11,16,22,22,58}},25,23,23,23,41}"
W,"5{6{8{11,16,22,22,58},8{11,16,20,20,58}},6{8{11,16,22,22,58},8{11,16,22,22,58}},8{11,16,22,22,58},25,23,23,23,23,23,43}"
MDF,"5{7{9{11,11,18,22,22,22,22,58}},7{9{11,11,18,22,22,22,22,58}},8{11,16,20,20,58},27,23,23,23,23,23,44}"
LW,"4{7{9{11,11,17,20,22,20,22,58}},7{9{11,11,17,22,20,22,22,58}},25,23,23,23,23,45}"
RRWC,"2{6{8{11,19,22,20,58},8{11,16,22,20,58}},25,24,23,36}"
RRWT,"2{6{8{11,16,20,20,58},8{11,16,22,20,58}},25,23,23,37}"
WW,"2{6{8{13,16,21,21,57},8{12,16,21,21,57}},26,23,23,36}"
WWR,"1{8{13,16,21,21,57},26,23,34}"
LB,"1{8{15,16,20,20,58},25,24,35}"
HO,"1{8{11,16,20,20,58},25,24,35}"
MPR,"1{8{10{29{30{32,31{33}}},28{31{32},28{30{32,31{32}},29{30{33,31{33}}}}}},16,20,20,58},25,24,35}"
FHN,"1{8{10{28{31{32},28{31{33},29{30{32,30{32,31{32}}}}}},28{31{32},29{31{33}}}},16,20,20,58},25,24,35}"
VDP,"1{8{10{29{31{33}},28{31{32},28{31{33},29{30{32,30{32,31{33}}}}}}},16,20,20,58},25,24,35}"
SL,"1{8{10{28{31{32},28{31{33},28{30{32,30{32,31{32}}},29{30{32,30{33,31{33}}}}}}},28{31{32},28{31{33},28{30{33,30{33,31{33}}},29{30{32,30{32,31{33}}}}}}}},16,20,20,58},25,24,35}"
DO,"1{8{10{29{31{33}},28{31{32},28{31{33},29{30{32,30{32,31{32}}}}}}},16,20,20,58},25,24,35}"
