time_ms,time,IC3
0,0,-2.815131
3.90625,0.00390625,-3.169483
7.8125,0.0078125,-0.8483632
11.71875,0.01171875,3.106281
15.625,0.015625,5.54928
19.53125,0.01953125,4.234529
23.4375,0.0234375,0.2361811
27.34375,0.02734375,-2.96278
31.25,0.03125,-2.901374
35.15625,0.03515625,-0.4626362
39.0625,0.0390625,1.35866
42.96875,0.04296875,0.7811229
46.875,0.046875,-1.049413
50.78125,0.05078125,-1.7036
54.6875,0.0546875,-0.3956681
58.59375,0.05859375,1.195343
62.5,0.0625,1.007447
66.40625,0.06640625,-0.9826358
70.3125,0.0703125,-2.770022
74.21875,0.07421875,-2.582032
78.125,0.078125,-0.6605558
82.03125,0.08203125,1.366912
85.9375,0.0859375,2.439677
89.84375,0.08984375,2.894473
93.75,0.09375,3.449296
97.65625,0.09765625,4.001233
101.5625,0.1015625,3.851887
105.4688,0.1054688,2.862866
109.375,0.109375,1.835846
113.2812,0.1132812,1.516321
117.1875,0.1171875,1.596012
121.0938,0.1210938,1.088412
125,0.125,-0.3724637
128.9062,0.1289062,-1.947089
132.8125,0.1328125,-2.464807
136.7188,0.1367188,-1.712302
140.625,0.140625,-0.6728183
144.5312,0.1445312,-0.5086836
148.4375,0.1484375,-1.458414
152.3438,0.1523438,-2.713453
156.25,0.15625,-3.285123
160.1562,0.1601562,-2.895548
164.0625,0.1640625,-2.070402
167.9688,0.1679688,-1.507897
171.875,0.171875,-1.4043
175.7812,0.1757812,-1.378352
179.6875,0.1796875,-0.9371797
183.5938,0.1835938,0.06069931
187.5,0.1875,1.297417
191.4062,0.1914062,2.269993
195.3125,0.1953125,2.668355
199.2188,0.1992188,2.547846
203.125,0.203125,2.226651
207.0312,0.2070312,2.029349
210.9375,0.2109375,2.096858
214.8438,0.2148438,2.360432
218.75,0.21875,2.623935
222.6562,0.2226562,2.719372
226.5625,0.2265625,2.603696
230.4688,0.2304688,2.351174
234.375,0.234375,2.132912
238.2812,0.2382812,2.129797
242.1875,0.2421875,2.392751
246.0938,0.2460938,2.684676
250,0.25,2.574683
253.9062,0.2539062,1.848636
257.8125,0.2578125,0.8137527
261.7188,0.2617188,0.1166222
265.625,0.265625,0.08920836
269.5312,0.2695312,0.3500282
273.4375,0.2734375,0.1994259
277.3438,0.2773438,-0.5628666
281.25,0.28125,-1.338161
285.1562,0.2851562,-1.336287
289.0625,0.2890625,-0.4636581
292.9688,0.2929688,0.4948614
296.875,0.296875,0.7067696
300.7812,0.3007812,0.1731201
304.6875,0.3046875,-0.3294595
308.5938,0.3085938,-0.1341718
312.5,0.3125,0.6038108
316.4062,0.3164062,1.166766
320.3125,0.3203125,1.161084
324.2188,0.3242188,0.9818277
328.125,0.328125,1.333102
332.0312,0.3320312,2.37425
335.9375,0.3359375,3.505228
339.8438,0.3398438,3.999027
343.75,0.34375,3.716897
347.6562,0.3476562,3.163551
351.5625,0.3515625,2.909522
355.4688,0.3554688,3.067603
359.375,0.359375,3.338793
363.2812,0.3632812,3.428536
367.1875,0.3671875,3.301706
371.0938,0.3710938,3.077836
375,0.375,2.82691
378.9062,0.3789062,2.529175
382.8125,0.3828125,2.174515
386.7188,0.3867188,1.837569
390.625,0.390625,1.660348
394.5312,0.3945312,1.724345
398.4375,0.3984375,1.93359
402.3438,0.4023438,2.063134
406.25,0.40625,1.936081
410.1562,0.4101562,1.604799
414.0625,0.4140625,1.301075
417.9688,0.4179688,1.163294
421.875,0.421875,1.092077
425.7812,0.4257812,0.9426173
429.6875,0.4296875,0.8276695
433.5938,0.4335938,1.076892
437.5,0.4375,1.810235
441.4062,0.4414062,2.699841
445.3125,0.4453125,3.274178
449.2188,0.4492188,3.398373
453.125,0.453125,3.297708
457.0312,0.4570312,3.108802
460.9375,0.4609375,2.656022
464.8438,0.4648438,1.83233
468.75,0.46875,1.03856
472.6562,0.4726562,0.9640007
476.5625,0.4765625,1.889796
480.4688,0.4804688,3.339704
484.375,0.484375,4.470339
488.2812,0.4882812,4.693705
492.1875,0.4921875,3.939986
496.0938,0.4960938,2.548098
500,0.5,1.118945
503.9062,0.5039062,0.3521093
507.8125,0.5078125,0.5911063
511.7188,0.5117188,1.371535
515.625,0.515625,1.668175
519.5312,0.5195312,0.8824123
523.4375,0.5234375,-0.4134261
527.3438,0.5273438,-0.9660627
531.25,0.53125,-0.1522044
535.1562,0.5351562,1.354264
539.0625,0.5390625,2.244819
542.9688,0.5429688,1.847557
546.875,0.546875,0.6752439
550.7812,0.5507812,-0.1396325
554.6875,0.5546875,0.1841517
558.5938,0.5585938,1.490103
562.5,0.5625,2.866333
566.4062,0.5664062,3.330127
570.3125,0.5703125,2.550751
574.2188,0.5742188,1.104281
578.125,0.578125,-0.02090663
582.0312,0.5820312,-0.2891485
585.9375,0.5859375,-7.43E-05
589.8438,0.5898438,0.2312181
593.75,0.59375,0.2160082
597.6562,0.5976562,0.3015806
601.5625,0.6015625,0.7548282
605.4688,0.6054688,1.253263
609.375,0.609375,1.169967
613.2812,0.6132812,0.3074694
617.1875,0.6171875,-0.7001448
621.0938,0.6210938,-0.8474447
625,0.625,0.3651789
628.9062,0.6289062,2.485309
632.8125,0.6328125,4.408993
636.7188,0.6367188,5.201941
640.625,0.640625,4.735207
644.5312,0.6445312,3.595653
648.4375,0.6484375,2.464798
652.3438,0.6523438,1.605177
656.25,0.65625,0.9567211
660.1562,0.6601562,0.5363618
664.0625,0.6640625,0.5654303
667.9688,0.6679688,1.189992
671.875,0.671875,2.188432
675.7812,0.6757812,3.042081
679.6875,0.6796875,3.259349
683.5938,0.6835938,2.695372
687.5,0.6875,1.671894
691.4062,0.6914062,0.8672691
695.3125,0.6953125,0.8533595
699.2188,0.6992188,1.528128
703.125,0.703125,2.083369
707.0312,0.7070312,1.781357
710.9375,0.7109375,0.8635152
714.8438,0.7148438,0.3850185
718.75,0.71875,0.9913629
722.6562,0.7226562,2.124173
726.5625,0.7265625,2.708997
730.4688,0.7304688,2.46079
734.375,0.734375,2.10506
738.2812,0.7382812,2.223113
742.1875,0.7421875,2.407847
746.0938,0.7460938,1.955282
750,0.75,1.029989
753.9062,0.7539062,0.5953444
757.8125,0.7578125,1.090502
761.7188,0.7617188,1.712403
765.625,0.765625,1.382241
769.5312,0.7695312,0.1372992
773.4375,0.7734375,-0.8686962
777.3438,0.7773438,-0.7596204
781.25,0.78125,0.07710683
785.1562,0.7851562,0.5846625
789.0625,0.7890625,0.2947861
792.9688,0.7929688,-0.2963291
796.875,0.796875,-0.4768523
800.7812,0.8007812,-0.1296571
804.6875,0.8046875,0.3180593
808.5938,0.8085938,0.4731752
812.5,0.8125,0.3163151
816.4062,0.8164062,0.1027593
820.3125,0.8203125,0.05376279
824.2188,0.8242188,0.2032616
828.125,0.828125,0.4088788
832.0312,0.8320312,0.4870771
835.9375,0.8359375,0.4422686
839.8438,0.8398438,0.5429112
843.75,0.84375,1.097887
847.6562,0.8476562,2.019883
851.5625,0.8515625,2.703024
855.4688,0.8554688,2.520671
859.375,0.859375,1.468053
863.2812,0.8632812,0.2391585
867.1875,0.8671875,-0.3780882
871.0938,0.8710938,-0.1756442
875,0.875,0.4463378
878.9062,0.8789062,1.021988
882.8125,0.8828125,1.406296
886.7188,0.8867188,1.670239
890.625,0.890625,1.77646
894.5312,0.8945312,1.567842
898.4375,0.8984375,1.095128
902.3438,0.9023438,0.7305136
906.25,0.90625,0.8564444
910.1562,0.9101562,1.458525
914.0625,0.9140625,2.08067
917.9688,0.9179688,2.221492
921.875,0.921875,1.742251
925.7812,0.9257812,0.9255523
929.6875,0.9296875,0.2663515
933.5938,0.9335938,0.2082836
937.5,0.9375,0.926379
941.4062,0.9414062,2.188335
945.3125,0.9453125,3.390197
949.2188,0.9492188,3.864615
953.125,0.953125,3.306086
957.0312,0.9570312,1.990541
960.9375,0.9609375,0.5785453
964.8438,0.9648438,-0.3580412
968.75,0.96875,-0.6919584
972.6562,0.9726562,-0.6915944
976.5625,0.9765625,-0.6663444
980.4688,0.9804688,-0.666892
984.375,0.984375,-0.5522229
988.2812,0.9882812,-0.3049825
992.1875,0.9921875,-0.1335151
996.0938,0.9960938,-0.2712474
1000,1,-0.6905379
1003.906,1.003906,-1.087384
1007.812,1.007812,-1.204699
1011.719,1.011719,-1.046442
1015.625,1.015625,-0.7321237
1019.531,1.019531,-0.2518902
1023.438,1.023438,0.4976364
1027.344,1.027344,1.419775
1031.25,1.03125,2.058942
1035.156,1.035156,1.878174
1039.062,1.039062,0.7403816
1042.969,1.042969,-0.8454444
1046.875,1.046875,-1.97747
1050.781,1.050781,-2.005271
1054.688,1.054688,-1.070494
1058.594,1.058594,-0.06781021
1062.5,1.0625,0.07781623
1066.406,1.066406,-0.746339
1070.312,1.070312,-1.773321
1074.219,1.074219,-2.18757
1078.125,1.078125,-1.935444
1082.031,1.082031,-1.58118
1085.938,1.085938,-1.430826
1089.844,1.089844,-1.180047
1093.75,1.09375,-0.5469818
1097.656,1.097656,0.09082824
1101.562,1.101562,0.09696841
1105.469,1.105469,-0.4745096
1109.375,1.109375,-0.8009033
1113.281,1.113281,-0.3478792
1117.188,1.117188,0.3323058
1121.094,1.121094,0.3169072
1125,1.125,-0.3704431
1128.906,1.128906,-0.6953226
1132.812,1.132812,0.005149253
1136.719,1.136719,1.029665
1140.625,1.140625,1.123007
1144.531,1.144531,0.05358455
1148.438,1.148438,-1.087285
1152.344,1.152344,-1.245984
1156.25,1.15625,-0.5874672
1160.156,1.160156,-0.103129
1164.062,1.164062,-0.3513081
1167.969,1.167969,-0.9203289
1171.875,1.171875,-1.11792
1175.781,1.175781,-0.7857522
1179.688,1.179688,-0.2703382
1183.594,1.183594,0.09372467
1187.5,1.1875,0.1910165
1191.406,1.191406,-0.009267971
1195.312,1.195312,-0.4744415
1199.219,1.199219,-0.9136434
1203.125,1.203125,-0.8646717
1207.031,1.207031,-0.1793676
1210.938,1.210938,0.7144297
1214.844,1.214844,1.150987
1218.75,1.21875,0.8410531
1222.656,1.222656,0.1193879
1226.562,1.226562,-0.3917466
1230.469,1.230469,-0.2600185
1234.375,1.234375,0.4910355
1238.281,1.238281,1.365705
1242.188,1.242188,1.651016
1246.094,1.246094,0.9313144
1250,1.25,-0.4197931
1253.906,1.253906,-1.37617
1257.812,1.257812,-1.16854
1261.719,1.261719,-0.1072162
1265.625,1.265625,0.7130491
1269.531,1.269531,0.6113358
1273.438,1.273438,0.05409646
1277.344,1.277344,0.003982484
1281.25,1.28125,0.7474526
1285.156,1.285156,1.652917
1289.062,1.289062,2.093573
1292.969,1.292969,2.257869
1296.875,1.296875,2.764552
1300.781,1.300781,3.743782
1304.688,1.304688,4.582181
1308.594,1.308594,4.621552
1312.5,1.3125,3.826544
1316.406,1.316406,2.651349
1320.312,1.320312,1.54265
1324.219,1.324219,0.7616941
1328.125,1.328125,0.4909239
