task,type,count,mean,std,median,5perc,95perc,min,max,LCL,UCL,2LCL,2UCL
ssvep,damping,810,5.1739,10.6351,2.921,0.3887,14.5086,0,94.918,-26.7314,37.0792,-16.0963,26.4441
ssvep,frequency,720,457.0745,564.2017,269.6815,15.0703,1699.2093,11.107,3424.271,-1235.5306,2149.6796,-671.3289,1585.4779
ssvep,gain,1080,489.7927,1010.038,11.14,0.6528,2710.7429,0.261,9381.925,-2540.3213,3519.9067,-1530.2833,2509.8687
ssvep,noise_std,180,261226.2622,822427.3411,0.3525,0.0357,2.13E+06,0.006,4.45E+06,-2206055.761,2728508.286,-1383628.42,1906080.944
ssvep,offset,570,153.3752,446.797,3.115,0,1331.0702,0,2696.524,0,1493.7662,-740.2188,1046.9692
ssvep,poly_coeff,1350,15.6137,123.9628,1.764,-16.994,49.9005,-280.567,1560.761,-356.2747,387.5021,-232.3119,263.5393
ssvep,population_coupling,2790,192.3407,1244.8157,1.778,-3.6457,435.0992,-103.15,23029.775,-3542.1064,3926.7878,-2297.2907,2681.9721
ssvep,potential,690,-38.8543,114.9539,0.058,-272.5197,66.2964,-654.268,348.001,-383.716,306.0074,-268.7621,191.0535
ssvep,probability,30,0.5583,0.4494,0.3925,0.1026,1.4256,0.088,1.555,-0.7899,1.9065,-0.3405,1.4571
ssvep,rate,810,145.1396,420.6122,1.1925,0.1854,894.2462,0.026,3826.658,-1116.697,1406.9762,-696.0848,986.364
ssvep,time_constant,240,0.5659,1.9673,0.022,0.011,3.5145,0.006,13.425,-5.336,6.4678,-3.3687,4.5005
ssvep,tscale,180,34.5385,36.6405,25.063,2.1358,144.2752,1.763,154.595,-75.383,144.46,-38.7425,107.8195
rest,damping,810,4.7555,12.0054,2.425,0.276,12.6586,0,183.971,0,40.7717,-19.2553,28.7663
rest,frequency,720,304.2765,378.1208,176.7015,16.9524,989.0958,9.56,3369.193,-830.0859,1438.6389,-451.9651,1060.5181
rest,gain,1080,458.5749,953.2422,9.8145,0.662,2444.1684,0.11,8303.467,-2401.1517,3318.3015,-1447.9095,2365.0593
rest,noise_std,180,210974.3749,622824.7786,0.3435,0.024,1.68E+06,0.007,3.90E+06,-1657499.961,2079448.711,-1034675.182,1456623.932
rest,offset,570,116.0965,370.193,2.174,0,1304.0673,0,2657.845,0,1226.6755,-624.2895,856.4825
rest,poly_coeff,1350,24.141,159.103,1.9085,-22.9631,25.3724,-150.269,1493.268,-453.168,501.45,-294.065,342.347
rest,population_coupling,2790,251.8321,1838.455,1.7075,-3.6872,402.7032,-226.041,45677.806,-5263.5329,5767.1971,-3425.0779,3928.7421
rest,potential,690,-48.1558,152.6824,0.047,-376.3808,97.7167,-923.195,341.156,-506.203,409.8914,-353.5206,257.209
rest,probability,30,0.49,0.3514,0.4705,0.1067,1.2344,0.041,1.502,-0.5642,1.5442,-0.2128,1.1928
rest,rate,810,136.7668,391.8049,1.314,0.1985,875.4648,0.031,3655.932,-1038.6479,1312.1815,-646.843,920.3766
rest,time_constant,240,0.5519,1.7277,0.0355,0.011,4.311,0.005,13.111,-4.6312,5.735,-2.9035,4.0073
rest,tscale,180,14.1666,16.5667,7.518,1.778,48.685,1.692,74.849,-35.5335,63.8667,-18.9668,47.3
